         y,     x_in,    y_in,          x_corr,           y_corr
10000, 10000, 10000, 11043.3, 10527.6
10010, 10000, 10010, 11042.9, 10537.4
10020, 10000, 10020, 11042.6, 10547.2
10030, 10000, 10030, 11042.2, 10556.9
10040, 10000, 10040, 11041.9, 10566.7
10050, 10000, 10050, 11041.5, 10576.5
10060, 10000, 10060, 11041.2, 10586.2
10070, 10000, 10070, 11040.8, 10596
10080, 10000, 10080, 11040.5, 10605.8
10090, 10000, 10090, 11040.1, 10615.6
10100, 10000, 10100, 11039.8, 10625.3
10110, 10000, 10110, 11039.4, 10635.1
10120, 10000, 10120, 11039.1, 10644.9
10130, 10000, 10130, 11038.7, 10654.6
10140, 10000, 10140, 11038.4, 10664.4
10150, 10000, 10150, 11038, 10674.2
10160, 10000, 10160, 11037.7, 10683.9
10170, 10000, 10170, 11037.3, 10693.7
10180, 10000, 10180, 11037, 10703.5
10190, 10000, 10190, 11036.6, 10713.2
10200, 10000, 10200, 11036.3, 10723
10210, 10000, 10210, 11035.9, 10732.8
10220, 10000, 10220, 11035.6, 10742.5
10230, 10000, 10230, 11035.2, 10752.3
10240, 10000, 10240, 11034.9, 10762.1
10250, 10000, 10250, 11034.5, 10771.8
10260, 10000, 10260, 11034.2, 10781.6
10270, 10000, 10270, 11033.8, 10791.4
10280, 10000, 10280, 11033.5, 10801.1
10290, 10000, 10290, 11033.1, 10810.9
10300, 10000, 10300, 11032.8, 10820.7
10310, 10000, 10310, 11032.4, 10830.5
10320, 10000, 10320, 11032.1, 10840.2
10330, 10000, 10330, 11031.7, 10850
10340, 10000, 10340, 11031.4, 10859.8
10350, 10000, 10350, 11031, 10869.5
10360, 10000, 10360, 11030.7, 10879.3
10370, 10000, 10370, 11030.4, 10889.1
10380, 10000, 10380, 11030, 10898.8
10390, 10000, 10390, 11029.7, 10908.6
10400, 10000, 10400, 11029.3, 10918.4
10410, 10000, 10410, 11029, 10928.1
10420, 10000, 10420, 11028.6, 10937.9
10430, 10000, 10430, 11028.3, 10947.7
10440, 10000, 10440, 11027.9, 10957.4
10450, 10000, 10450, 11027.6, 10967.2
10460, 10000, 10460, 11027.2, 10977
10470, 10000, 10470, 11026.9, 10986.7
10480, 10000, 10480, 11026.5, 10996.5
10490, 10000, 10490, 11026.2, 11006.3
10500, 10000, 10500, 11025.8, 11016
10510, 10000, 10510, 11025.5, 11025.8
10520, 10000, 10520, 11025.1, 11035.6
10530, 10000, 10530, 11024.8, 11045.4
10540, 10000, 10540, 11024.4, 11055.1
10550, 10000, 10550, 11024.1, 11064.9
10560, 10000, 10560, 11023.7, 11074.7
10570, 10000, 10570, 11023.4, 11084.4
10580, 10000, 10580, 11023, 11094.2
10590, 10000, 10590, 11022.7, 11104
10600, 10000, 10600, 11022.3, 11113.7
10610, 10000, 10610, 11022, 11123.5
10620, 10000, 10620, 11021.6, 11133.3
10630, 10000, 10630, 11021.3, 11143
10640, 10000, 10640, 11020.9, 11152.8
